lats,lons
14.26,-113.52
14.26,-113.47
14.26,-113.42
14.26,-113.38
14.26,-113.34
14.26,-113.29
14.26,-113.25
14.26,-113.2
14.26,-113.16
14.26,-113.11
14.26,-113.06
14.26,-113.02
14.26,-112.98
14.26,-112.93
14.26,-112.89
14.26,-112.84
14.26,-112.8
14.26,-112.75
14.26,-112.7
14.26,-112.66
14.26,-112.62
14.26,-112.57
14.26,-112.53
14.26,-112.48
14.26,-112.44
14.26,-112.39
14.26,-112.34
14.26,-112.3
14.26,-112.26
14.26,-112.21
14.26,-112.17
14.26,-112.12
14.26,-112.08
14.26,-112.03
14.26,-111.98
14.26,-111.94
14.26,-111.9
14.26,-111.85
14.26,-111.81
14.26,-111.76
14.26,-111.72
14.26,-111.67
14.26,-111.62
14.26,-111.58
14.26,-111.53
14.26,-111.49
14.26,-111.45
14.26,-111.4
14.26,-111.36
14.26,-111.31
14.26,-111.27
14.26,-111.22
14.26,-111.17
14.26,-111.13
14.26,-111.09
14.26,-111.04
14.26,-111.0
14.26,-110.95
14.26,-110.91
14.26,-110.86
14.26,-110.81
14.26,-110.77
14.26,-110.73
