,in_apple_playlists,in_apple_charts,Artista,id_artista
735,4,5,Kendrick Lamar,485
736,20,10,Kendrick Lamar,485
737,3,7,Kendrick Lamar,485
738,1,0,Kendrick Lamar,485
739,0,0,Kendrick Lamar,485
740,2,0,Kendrick Lamar,485
741,1,0,Kendrick Lamar,485
742,2,0,Kendrick Lamar,485
743,0,0,Kendrick Lamar,485
744,29,0,Kendrick Lamar,485
745,83,63,"Eminem, Dido",486
746,65,45,"GODZZ__-, Zakaria",487
747,5,1,Chase Atlantic,488
748,47,3,Em Beihold,489
749,10,0,"Mainstreet, Chefin",490
750,42,7,"Alvaro Diaz, Rauw Alejandro",491
751,25,0,"Nicki Minaj, Lil Baby",492
752,42,1,"Nicki Minaj, Lil Baby",492
753,20,3,Future,493
754,28,42,Future,493
755,43,36,Muni Long,495
756,3,0,Vundabar,496
757,8,106,V,497
758,453,50,"Shawn Mendes, Camila Cabello",499
759,52,42,"Daddy Yankee, Bad Bunny",500
760,55,3,"Daddy Yankee, Bad Bunny",500
761,69,2,"Dua Lipa, Megan Thee Stallion",501
762,185,40,"Camila Cabello, Ed Sheeran",502
763,46,16,Cris Mj,503
764,123,113,Anitta,504
765,29,40,Dave,505
766,12,4,Tulus,506
767,45,0,"Mc Pedrinho, Pedro Sampaio",507
768,18,82,Zion & Lennox,508
769,7,11,"Residente, Bizarrap",509
770,42,0,Jack Harlow,510
771,163,32,Jack Harlow,510
772,35,0,Jack Harlow,510
773,10,21,Treasure,512
774,27,84,Christian Nodal,513
775,0,0,"Kevin Gates, Juicy J",514
776,26,1,"Tyga, Doja Cat",515
777,321,162,Queen,516
778,2,0,YEAT,517
779,10,1,YEAT,517
780,36,2,C. Tangana,518
781,336,188,"The Chainsmokers, Coldplay",519
782,315,159,"The Chainsmokers, Halsey",520
783,9,66,NMIXX,521
784,217,136,"Gotye, Kimbra",522
785,15,48,"AnnenMayKantereit, Giant Rooks",523
786,32,0,Paulo Londra,524
787,11,0,Paulo Londra,524
788,68,24,Danny Ocean,525
789,21,0,Lil Tjay,526
790,79,80,Willow,527
791,49,17,"Feid, Alejo, Robi",528
792,155,5,Demi Lovato,529
793,24,0,"Camila Cabello, Willow",530
794,14,0,"De La Ghetto, Duki, Quevedo",532
795,31,9,Lil Baby,533
796,36,38,Lil Baby,533
797,12,2,"Ak4:20, Cris Mj, Pailita",534
798,5,0,Yahritza Y Su Esencia,535
799,46,8,"Ed Sheeran, J Balvin",537
800,27,2,teto,538
801,10,2,"Blackbear, BoyWithUke",539
802,203,1,"Pharrell Williams, Nile Rodgers, Daft Punk",540
803,16,14,BIGBANG,541
804,38,13,"Kendrick Lamar, Blxst, Amanda Reifer",542
805,4,0,"Kendrick Lamar, Sampha",543
806,42,28,"Post Malone, Roddy Ricch",544
807,22,0,"Kendrick Lamar, Kodak Black",545
808,8,25,"Tony Dize, Bad Bunny",546
809,8,30,"Buscabulla, Bad Bunny",547
810,4,1,"Kendrick Lamar, Taylour Paige",548
811,9,0,"Kendrick Lamar, Sam Dew, Baby Keem",549
812,7,0,"Kendrick Lamar, Ghostface Killah, Summer Walker",551
813,48,4,"Polima WestCoast, Pailita",552
814,162,116,"Bad Bunny, Tainy",553
815,10,2,Panic! At The Disco,554
816,1,0,"Kendrick Lamar, Tanna Leone",555
817,16,81,"PSY, Suga",556
818,48,40,Benson Boone,557
819,10,4,KALUSH,558
820,16,11,Luciano,559
821,19,0,"Bizarrap, Paulo Londra",560
822,10,22,"Shae Gill, Ali Sethi",561
823,3,0,"Kendrick Lamar, Beth Gibbons",562
824,23,16,"Sech, Mora",563
825,135,74,"MNEK, Jax Jones",564
826,15,3,"Ugly Dray, Tesla Jnr",565
827,26,1,"Justin Bieber, Don Toliver",566
828,5,29,Jessi,567
829,31,0,Chanel,568
830,23,1,Leah Kate,569
831,42,51,Sam Ryder,570
832,4,35,"HA SUNG WOON, Jimin",571
833,137,5,The Goo Goo Dolls,572
834,5,0,Kevin Kaarl,573
835,11,6,Suki Waterhouse,574
836,42,9,Lauren Spencer Smith,575
837,34,0,"Pharrell Williams, Tyler, The Creator, 21 Savage",576
838,73,45,"Calvin Harris, Dua Lipa, Young Thug",577
839,36,1,"Nengo Flow, Anuel Aa, Chris Jedi, Chencho Corleone",578
840,23,1,"Kanye West, XXXTENTACION",579
841,54,76,Musical Youth,580
842,26,16,"Bizarrap, Villano Antillano",581
843,51,14,Halsey,582
844,109,38,"BYOR, Imanbek",583
845,19,0,"Sleepy hallow, 347aidan",584
846,90,22,Paloma Faith,585
847,107,76,"Marshmello, Khalid",586
848,0,0,"Ozuna, Tiago pzk",587
849,33,60,Childish Gambino,588
850,139,73,"David Guetta, Ella Henderson, Becky Hill",589
851,12,1,Duki,590
