,Artista,in_spotify_playlists,in_spotify_charts,id_artista
604,"Bad Bunny, Jhay Cortez",2482,20,362
605,"Bad Bunny, Jhay Cortez",11215,21,362
606,"Gwen Stefani, Blake Shelton",2577,0,363
607,"Chencho Corleone, Rauw Alejandro",6821,34,364
608,"Bad Bunny, Rauw Alejandro",3185,4,365
609,Chuck Berry,8612,0,366
610,Frank Sinatra,4326,0,367
611,"John Legend, Metro Boomin",398,0,368
612,"Maldy, Karol G",3328,13,369
613,Gayle,7215,0,370
614,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",2235,0,371
615,"Cherish, ACRAZE",12403,0,372
616,"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",2785,0,373
617,Farruko,14114,17,374
618,Jaymes Young,4375,0,375
619,"The Weeknd, Tyler, The Creator",1420,0,376
620,"SZA, Doja Cat",15867,0,377
621,"The Weeknd, Lil Wayne",1178,0,378
622,Ckay,5669,2,379
623,Jessica Darrow,1756,0,380
624,"The Weeknd, Post Malone",4771,0,381
625,"Aitana, zzoilo",3221,2,383
626,"Julieta Venegas, Bad Bunny, Tainy",3423,26,384
627,Lisa,2566,13,385
628,"The Weeknd, Swedish House Mafia",7495,17,387
629,"Juan Cruz Toledo, Huilen Toledo",5257,6,388
630,BoyWithUke,1795,0,389
631,"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",759,3,391
632,Emmy Meli,2795,0,392
633,Shawn Mendes,1950,0,394
634,Shawn Mendes,2092,0,394
635,Shawn Mendes,12382,0,394
636,Kodak Black,2551,0,395
637,"Aventura, Bad Bunny",5375,10,396
638,Rauw Alejandro,11975,8,397
639,Rauw Alejandro,2636,3,397
640,"Bruno Mars, Anderson .Paak, Silk Sonic",4963,0,398
641,"Bruno Mars, Anderson .Paak, Silk Sonic",14417,0,398
642,"THE ANXIETY, Willow, Tyler Cole",6734,0,399
643,Sebastian Yatra,3047,9,400
644,Sebastian Yatra,925,0,400
645,"Justin Bieber, Daniel Caesar, Giveon",14140,0,401
646,"Bizarrap, Tiago pzk",1678,12,402
647,Stromae,2035,0,403
648,"Chris Brown, Rvssian, Rauw Alejandro",2780,2,404
649,"NEIKED, Mae Muller, Polo G",4091,0,405
650,Oliver Tree,2868,0,406
651,"Kali Uchis, Amaarae, Moliy",3643,0,407
652,"Young Thug, Future, Gunna",3517,0,408
653,"Doja Cat, The Weeknd",5073,0,409
654,Jnr Choi,2979,0,410
655,"Trueno, Tiago pzk",1057,0,411
656,"Sech, Bad Bunny, Mora",3272,19,412
657,"Drake, Project Pat, 21 Savage",5199,0,413
658,Edison Lighthouse,2877,0,415
659,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",1150,0,417
660,Surf Curse,3006,3,418
661,Jason Derulo,3098,0,419
662,"21 Savage, Gunna",807,0,420
663,"24kgoldn, Iann Dior",12854,0,421
664,"Stephanie Beatriz, Diane Guerrero",802,0,422
665,Trueno,731,0,423
666,Kanye West,4651,0,424
667,Kanye West,17504,34,424
668,Kanye West,19806,7,424
669,Playboi Carti,3297,3,425
670,Maluma,3506,10,426
671,"Ed Sheeran, Fireboy DML",2999,0,427
672,"Prezioso, Gabry Ponte, LUM!X",4846,10,428
673,TWICE,1150,0,431
674,TWICE,615,0,431
675,Giveon,5398,4,432
676,"Sean Paul, Dua Lipa",7370,0,433
677,"Charli XCX, Jax Jones, Joel Corry, Saweetie",6890,0,434
678,SALES,1966,0,435
679,Sleepy hallow,2226,0,436
680,Masked Wolf,7191,0,437
681,"Anuel Aa, Jhay Cortez",2012,0,438
682,NIKI,1211,2,439
683,Tate McRae,6638,0,440
684,Tate McRae,2711,0,440
685,Avicii,17354,8,441
686,Avicii,50887,34,441
687,"Drake, Future, Young Thug",5481,0,442
688,"Imagine Dragons, League of Legends, Arcane",824,0,443
689,Tones and I,24529,0,444
690,Juice WRLD,14749,0,445
691,Juice WRLD,975,0,445
692,"J Balvin, Maria Becerra",8087,0,446
693,John Legend,27221,0,447
694,Nirvana,49991,9,448
695,Nirvana,9514,0,448
696,Duncan Laurence,6646,0,449
697,"Drake, Travis Scott",5403,6,450
698,"Tini, L-Gante",755,4,451
699,SiM,254,0,452
700,"Kendrick Lamar, Baby Keem",6308,5,453
701,The Killers,51979,15,454
702,"J Balvin, Nio Garcia, Bad Bunny",6556,0,455
703,"Lady Gaga, Bradley Cooper",16636,12,456
704,"Marshmello, Jonas Brothers",4893,4,457
705,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",12043,0,458
